"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","OLIGO_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg02246190",0.393805449320026,0.322251453902833,18.2583911885408,4.60042277524628e-55,8.00665247175155e-53,114.566935384663,NA,0.55700166091842,NA,"13",61989859,"F","I","PCDH20","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","","","UP"
"cg22874893",0.289761130861779,0.206275315094268,18.2151098127406,6.63874415192846e-55,1.13183813561654e-52,114.201254765043,0.0895268982907359,0.379288029152515,0.289761130861779,"6",17281624,"R","I","RBM24","TSS1500","island","TSS1500-island","chr6:17280739-17282334",TRUE,NA,"","","","NO"
"cg14255256",0.273506804224647,0.187697901979652,18.0328823749061,4.21860814408263e-54,7.04845048713325e-52,112.361707306107,0.0774985585299155,0.351005362754563,0.273506804224647,"2",46465,"R","I","FAM110C","TSS200","island","TSS200-island","chr2:45510-46559",TRUE,NA,"","","","NO"
"cg09428893",0.385624673809932,0.272869329344282,18.0290359404527,4.38642585854067e-54,7.18513757298995e-52,112.322901144592,0.117496281158727,0.503120954968659,0.385624673809932,"16",89238049,"F","I","CDH15","TSS200","island","TSS200-island","chr16:89237944-89238331",NA,NA,"","","","UP"
"cg04432319",0.329992044658324,0.284588777839561,17.9688480024364,8.07520213027407e-54,1.29731228069826e-51,111.71580114493,0.151630818098586,0.48162286275691,0.329992044658324,"20",13200931,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","UP"
"cg10092878",0.2911457765084,0.215142351304801,17.9036206624683,1.56411339984859e-53,2.46539685704437e-51,111.058147817161,0.097836043294135,0.388981819802536,0.291145776508401,"7",73038859,"F","I","MLXIPL","1stExon","island","1stExon-island","chr7:73037528-73038957",NA,NA,"high-CpG:72676672-72676863","rs2736903","","NO"
"cg26532253",0.36083192950798,0.402229478468331,17.8683452132777,2.23608906391938e-53,3.45931259999676e-51,110.70260748238,0.256845739880164,0.617677669388144,0.36083192950798,"20",61734508,"R","I","HAR1A","Body","island","Body-island","chr20:61733275-61734521",NA,NA,"","","","UP"
"cg21773872",0.390175049117331,0.262302329097085,17.8661106992559,2.28728481320165e-53,3.47417769627029e-51,110.680088846982,0.105095877268258,0.495270926385589,0.390175049117331,"7",30722320,"R","I","CRHR2","TSS200","island","TSS200-island","chr7:30721372-30722445",NA,NA,"","","","UP"
"cg08748615",0.290897300300669,0.166710768875621,17.8577019904696,2.49066036758294e-53,3.71553155549784e-51,110.595352077264,0.0495045750651577,0.340401875365826,0.290897300300669,"1",39957298,"R","I","BMP8A","TSS200","island","TSS200-island","chr1:39956424-39958137",NA,NA,"high-CpG:39729875-39730234","","","NO"
"cg21794428",0.415472944710907,0.406750584216465,17.8043513383985,4.27543792364479e-53,6.2661418270401e-51,110.057842510267,0.239351290959158,0.654824235670065,0.415472944710907,"13",21635420,"F","I","LATS2","5'UTR","island","5'UTR-island","chr13:21634519-21635907",NA,NA,"","","","UP"
"cg06262436",0.319939378994377,0.230243083562421,17.5479937801929,5.71862292707301e-52,8.2367889539255e-50,107.478047039396,0.101335469695754,0.421274848690132,0.319939378994378,"20",13200973,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","UP"
"cg15209808",0.401731355325583,0.43977462671734,17.4577284939631,1.4234158726967e-51,2.0154603729675e-49,106.570945705589,0.277911993260916,0.679643348586499,0.401731355325583,"22",30476254,"R","I","HORMAD2","TSS200","island","TSS200-island","chr22:30476012-30476530",NA,NA,"","","","UP"
"cg26578983",0.411562292295934,0.537838054168552,17.4095033475733,2.31631688450042e-51,3.22508520885276e-49,106.086603030051,0.372014412126986,0.78357670442292,0.411562292295934,"16",85075249,"R","I","KIAA0513","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","","","UP"
"cg01532168",0.25728962683533,0.162798852493354,17.3360911230812,4.85892600092634e-51,6.65433898553093e-49,105.349690581131,0.0591336144965945,0.316423241331925,0.25728962683533,"8",140715557,"F","I","KCNK9","TSS1500","island","TSS1500-island","chr8:140714585-140718259",NA,NA,"","","","NO"
"cg15617297",0.304510609285687,0.192997112345669,17.2162990289112,3.04429392269187e-50,4.10194055325288e-48,103.534955148353,NA,NA,NA,"10",81965460,"F","I","ANXA11","TSS200","island","TSS200-island","chr10:81964681-81965558",TRUE,NA,"","rs12763106","","UP"
"cg08701937",0.365785118881069,0.28441679873916,17.0758650393509,6.68806459184371e-50,8.86858596829561e-48,102.741568212815,0.137037357636594,0.502822476517662,0.365785118881068,"10",81965488,"F","I","ANXA11","TSS200","island","TSS200-island","chr10:81964681-81965558",TRUE,NA,"","","","UP"
"cg21638161",0.32515363192633,0.266436895519917,17.0104414757263,1.29166490809785e-49,1.68602635035148e-47,102.086901134323,0.135428393336008,0.460582025262338,0.32515363192633,"8",144512759,"R","I","MAFA","TSS200","island","TSS200-island","chr8:144510850-144513957",NA,NA,"","","","UP"
"cg27201297",0.317240588046729,0.377481341185326,17.0087875167745,1.31333020261108e-49,1.68793238655584e-47,102.070356296233,0.249661104253877,0.566901692300606,0.317240588046729,"3",37902413,"F","II","CTDSPL","TSS1500","island","TSS1500-island","chr3:37901938-37904039",NA,NA,"","","","UP"
"cg24181266",0.334713430045537,0.300086585327283,16.9932384596611,1.53561497615003e-49,1.94371628950869e-47,101.914830168298,0.165226319823498,0.499939749869036,0.334713430045538,"19",11354132,"F","I","DOCK6","Body","island","Body-island","chr19:11353960-11354362",NA,TRUE,"","rs56865998","","UP"
"cg19888787",0.338961365857197,0.360193482154503,16.955478804159,2.24464547125285e-49,2.79877138311139e-47,101.537251721181,0.223621669697477,0.562583035554674,0.338961365857197,"12",125399898,"F","II","UBC","TSS1500","island","TSS1500-island","chr12:125398558-125399899",NA,NA,"","","","UP"
"cg15110403",0.339713549228704,0.302821136197152,16.9524717228422,2.31352643251682e-49,2.84223526724199e-47,101.507188756202,0.165946259566169,0.505659808794874,0.339713549228704,"19",17392923,"R","I","ANKLE1","Body","island","Body-island","chr19:17392383-17393775",NA,TRUE,"","","","UP"
"cg06341513",0.305190453522815,0.172966932662012,16.9429554183842,2.54573373698501e-49,3.08218255634388e-47,101.412056814929,0.0500018470193243,0.355192300542139,0.305190453522815,"11",61277017,"F","I","LRRC10B","1stExon","island","1stExon-island","chr11:61275825-61277329",NA,NA,"","rs1139011","","UP"
"cg14326196",0.359229172706103,0.330094837735741,16.9015830540708,3.85793488278161e-49,4.60416971582251e-47,100.998579840645,0.18535687009202,0.544586042798124,0.359229172706103,"9",116860650,"F","I","KIF12","5'UTR","island","5'UTR-island","chr9:116860473-116860695",TRUE,NA,"","","","UP"
"cg11404544",-0.394046862707847,0.634406427788894,-16.8899701717102,4.33528301245673e-49,5.10097947691036e-47,100.882553076637,0.793172882180891,0.399126019473043,-0.394046862707848,"1",50571816,"F","I","ELAVL4","Body","opensea","Body-opensea","",NA,NA,"","rs61685094","","DOWN"
"cg08273957",-0.421287608336831,0.381918387349713,-16.9874131046395,6.32624968866675e-49,7.34020693043362e-47,100.528476997502,NA,NA,NA,"14",29227941,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg01141459",0.380610622256534,0.499835218950433,16.8297800095388,7.93421386853928e-49,9.07978392572289e-47,100.281414169905,0.346482395419888,0.727093017676422,0.380610622256534,"22",30476452,"R","I","HORMAD2","1stExon","island","1stExon-island","chr22:30476012-30476530",NA,NA,"","","","UP"
"cg04905434",0.298745426668426,0.265381398954786,16.8156915146176,9.13942029689194e-49,1.03176644811129e-46,100.140764932936,0.145013095976731,0.443758522645157,0.298745426668427,"8",144512773,"R","I","MAFA","TSS200","island","TSS200-island","chr8:144510850-144513957",NA,NA,"","","","NO"
"cg09491991",0.343293950661944,0.211864055249457,16.8103865245054,9.63921789118156e-49,1.07368035017241e-46,100.087809464821,0.0735465896914896,0.416840540353434,0.343293950661944,"20",13200980,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","UP"
"cg19884345",-0.407409410333261,0.565108015287244,-16.7370668914211,2.25460886377769e-48,2.47828979578931e-46,99.2447328164395,NA,NA,NA,"6",26189379,"F","II","HIST1H4D","TSS200","shore","TSS200-shore","chr6:26188997-26189295",TRUE,NA,"","","","DOWN"
"cg15468521",0.349205592179545,0.261063270438978,16.7099515137081,2.63972427557059e-48,2.86392942832684e-46,99.0858415236711,0.120363929900617,0.469569522080163,0.349205592179546,"10",102883343,"F","I","TLX1NB","5'UTR","island","5'UTR-island","chr10:102882977-102883551",NA,NA,"","","","UP"
"cg14852134",0.347587977175965,0.257758754906345,16.6953651992376,3.23319590012357e-48,3.46283571149132e-46,98.8853099790944,0.118216136332053,NA,NA,"20",13200748,"R","I","","IGR","island","IGR-island","chr20:13200670-13202616",TRUE,NA,"","","","UP"
"cg08995368",0.410008205980851,0.381516844092026,16.6875078831459,3.305679508372e-48,3.49565146999236e-46,98.8620942403664,0.216319363041489,0.62632756902234,0.410008205980851,"7",5632251,"R","I","FSCN1","TSS1500","shore","TSS1500-shore","chr7:5632335-5634555",NA,NA,"","","","UP"
"cg04346572",0.344159073989895,0.485741708210428,16.6642805449687,4.17203846696122e-48,4.35665116912425e-46,98.6305952492099,0.347075673544596,0.691234747534492,0.344159073989896,"20",17512294,"F","II","BFSP1","Body","shore","Body-shore","chr20:17511478-17512209",TRUE,NA,"","","","UP"
"cg07973470",0.344386578969195,0.34346729028002,16.6558741759342,4.53865303572136e-48,4.68097622968102e-46,98.546827289301,0.204709590986606,0.549096169955801,0.344386578969195,"16",47178359,"R","I","NETO2","TSS1500","island","TSS1500-island","chr16:47176787-47178446",TRUE,NA,"","","","UP"
"cg20919922",0.342429114500098,0.376362571786009,16.6474126908802,4.94017024979023e-48,5.03294905692043e-46,98.4625184471628,0.238393559633057,0.580822674133155,0.342429114500098,"2",75185588,"R","I","POLE4","TSS200","island","TSS200-island","chr2:75185567-75186177",TRUE,TRUE,"","","","UP"
"cg07759394",0.304499245084842,0.178508710540383,16.5955282198806,8.78131832761021e-48,8.83844979624767e-46,97.8913163425719,NA,0.360022859070277,NA,"11",134201954,"R","I","GLB1L2","1stExon","island","1stExon-island","chr11:134201784-134202407",NA,TRUE,"","","","UP"
"cg18771357",0.35076873206411,0.376144000105144,16.5643252403149,1.13514941377987e-47,1.12893311937108e-45,97.6350983434338,0.234814850778342,0.585583582842452,0.35076873206411,"13",107186870,"F","I","EFNB2","Body","island","Body-island","chr13:107186468-107189024",NA,NA,"","","","UP"
"cg27005794",0.302185063576345,0.404145487946696,16.5243586557223,1.69326074836302e-47,1.66417650492055e-45,97.2373891740426,0.282391311845547,0.584576375421892,0.302185063576345,"2",109746251,"R","I","LOC100287216","Body","island","Body-island","chr2:109744585-109746833",NA,NA,"","","","UP"
"cg02145932",0.278296685589501,0.175010072630947,16.4646169671145,3.24921026544816e-47,3.15626773925046e-45,96.590098194572,NA,0.340904690561428,NA,"20",13200969,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","NO"
"cg24826867",0.264395298230598,0.156583351136986,16.4420232392795,3.85690777279728e-47,3.68708350416225e-45,96.4186841903556,0.0500551484518423,0.314450446682441,0.264395298230598,"16",85932853,"R","I","IRF8","5'UTR","island","5'UTR-island","chr16:85932121-85932942",NA,NA,"","","","NO"
"cg19544662",0.325557319537553,0.326624875301117,16.4413246348912,3.88392803885896e-47,3.68708350416225e-45,96.4117412043861,0.19545372228356,0.521011041821113,0.325557319537553,"2",88752056,"R","I","FOXI3","TSS200","island","TSS200-island","chr2:88751335-88752865",NA,NA,"","","","UP"
"cg10700424",0.252425756329968,0.155310272003073,16.3828306778196,6.96689530252061e-47,6.53948801766935e-45,95.8306257335224,0.0536047488215813,0.306030505151549,0.252425756329968,"11",134201952,"R","I","GLB1L2","1stExon","island","1stExon-island","chr11:134201784-134202407",NA,TRUE,"","","","NO"
"cg13707768",0.385957914640984,0.451070871021262,16.3610446794686,9.13459092465989e-47,8.47893028717875e-45,95.5621203790103,NA,0.681143107242773,NA,"11",65081977,"R","I","CDC42EP2","TSS1500","island","TSS1500-island","chr11:65081937-65083333",NA,NA,"","","","UP"
"cg27323784",0.404290944520424,0.415069354091359,16.1918815076325,4.67865082448694e-46,4.29510428436966e-44,93.9367114602726,0.252175429842839,0.656466374363263,0.404290944520424,"11",116451730,"R","I","","IGR","island","IGR-island","chr11:116450659-116451912",TRUE,NA,"","","","UP"
"cg16997203",0.358805430341244,0.436622499215003,16.1547453494418,6.7722025388394e-46,6.14945434885482e-44,93.5689466525083,0.292055262718288,0.650860693059532,0.358805430341244,"11",44972679,"F","I","TP53I11","TSS200","island","TSS200-island","chr11:44971048-44972685",NA,NA,"","","rs35233683","UP"
"cg05006231",-0.369805089369038,0.540143375952859,-16.0636488064037,1.67635011276147e-45,1.50583105828057e-43,92.6676130442637,0.68914251390252,0.319337424533482,-0.369805089369037,"19",1852165,"R","I","","IGR","island","IGR-island","chr19:1851578-1852203",NA,NA,"high-CpG:1803163-1803168","","","DOWN"
"cg21561970",0.288210381612401,0.191863091953519,16.018656658068,2.62176757822061e-45,2.33002620728245e-43,92.222880209775,0.0757394915951245,0.363949873207525,0.288210381612401,"20",13200992,"F","I","ISM1","TSS1500","island","TSS1500-island","chr20:13200670-13202616",TRUE,NA,"high-CpG:13148870-13149049","","","NO"
"cg12315302",-0.400339392923798,0.520417932761646,-15.9947944509924,3.67316987375447e-45,3.23006959214156e-43,91.8900627297146,0.680553689931165,NA,NA,"6",26189340,"F","II","HIST1H4D","TSS200","shore","TSS200-shore","chr6:26188997-26189295",TRUE,NA,"low-CpG:26297315-26297320","rs13204572","","DOWN"
