"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GBM_AVG","OLIGO_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg21164232",0.645794909827077,0.38507165179699,85.5788184756805,8.37205365124206e-239,5.82834468353968e-236,537.034721512366,0.0787803517075762,0.724575261534653,0.645794909827077,"18",3452359,"F","II","TGIF1","5'UTR","island","5'UTR-island","chr18:3448006-3452360",NA,NA,"","","","UP"
"cg12897844",0.775565819499232,0.40293799250508,85.56950792385,2.51399782257828e-238,1.61553367767838e-235,535.937504293894,0.0362664732575921,NA,NA,"17",74965015,"R","I","","IGR","shore","IGR-shore","chr17:74965089-74965303",TRUE,NA,"","","","UP"
"cg14936968",0.70989442796069,0.362949426440787,84.8811174429482,1.33188525550888e-237,7.94754958894371e-235,534.270497234968,0.0262566406080022,0.736151068568692,0.70989442796069,"3",57198533,"F","I","IL17RD","Body","island","Body-island","chr3:57198243-57199378",NA,NA,"","","","UP"
"cg24284369",0.733137216266897,0.376916815521885,84.7654454902363,2.11130570370941e-237,1.17585652325256e-234,533.810211471693,0.0292003072352994,0.762337523502196,0.733137216266897,"12",109592987,"F","I","ACACB","Body","shore","Body-shore","chr12:109592315-109592633",NA,NA,"","rs74854241","","UP"
"cg05330668",0.80125041058934,0.44001261504596,85.41711622189,3.23905003049543e-236,1.6077960328025e-233,531.08908183925,NA,NA,NA,"14",24836090,"R","I","NFATC4","TSS200","island","TSS200-island","chr14:24835810-24836220",NA,NA,"","","","UP"
"cg20912172",0.713242875688918,0.390759222190131,84.0802980995736,3.27178986804435e-236,1.6077960328025e-233,531.072041398534,0.0524783154348156,0.765721191123734,0.713242875688918,"1",211500571,"R","II","TRAF5","5'UTR","island","5'UTR-island","chr1:211500151-211500636",NA,NA,"","","","UP"
"cg08870042",0.702548931580912,0.470571587197084,84.713399483821,1.77160858813802e-235,8.22223230294722e-233,529.390291653987,NA,0.836059470678484,NA,"5",114938148,"F","II","TMED7-TICAM2","Body","island","Body-island","chr5:114937613-114938149",TRUE,NA,"","","","UP"
"cg04770813",0.797518912460181,0.427918739050678,82.5782558730264,1.42928244927078e-233,6.28432925326743e-231,524.997367215172,0.0496669119981346,0.847185824458316,0.797518912460181,"6",33160297,"F","I","COL11A2","TSS200","shore","TSS200-shore","chr6:33160945-33161337",TRUE,TRUE,"high-CpG:33268177-33268468","","","UP"
"cg21266616",0.793597356010846,0.430001124175227,82.4017894622782,2.93870021522231e-233,1.22749507989836e-230,524.277109651071,0.0536092353243682,0.847206591335214,0.793597356010846,"12",94136549,"F","I","CRADD","Body","opensea","Body-opensea","",TRUE,NA,"","","","UP"
"cg18925548",0.64182758281604,0.345879593595762,82.3582224474192,3.51182323475334e-233,1.39703672872045e-230,524.099073025761,0.0414699400315828,0.683297522847623,0.64182758281604,"11",46402535,"F","II","MDK","TSS200","shore","TSS200-shore","chr11:46402624-46404139",NA,NA,"","","","UP"
"cg19174643",0.720987551919492,0.473518032329453,82.6037927341025,1.01332289302868e-232,3.84786338561891e-230,523.043601283345,NA,0.850586234770107,NA,"18",13136426,"R","II","","IGR","shore","IGR-shore","chr18:13136596-13137564",TRUE,NA,"","","","UP"
"cg08442798",0.738744580443561,0.371790423499251,81.9892125943986,1.59366371487188e-232,5.7884637713216e-230,522.587679284902,0.0214144224888763,0.760159002932437,0.738744580443561,"11",72388033,"F","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","UP"
"cg03367264",0.787813854139179,0.434974090263821,82.1426819081261,2.36784217847761e-232,8.24206398291749e-230,522.193780287192,NA,0.84806846077233,NA,"10",13392131,"F","I","","IGR","opensea","IGR-opensea","",TRUE,NA,"","","","UP"
"cg05651778",0.735406269687821,0.383866006019292,81.3868890707115,1.90683635556186e-231,6.37188436574551e-229,520.107385873171,0.0350733181102113,0.770479587798033,0.735406269687821,"17",60729731,"R","I","MRC2","Body","island","Body-island","chr17:60729645-60730269",NA,NA,"","","","UP"
"cg09938462",0.635152891561439,0.369623172072036,80.8728765394808,1.60647589679984e-230,5.16173063148686e-228,517.977576639443,0.0683792292171817,0.703532120778621,0.63515289156144,"22",19706365,"R","II","SEPT5","Body","island","Body-island","chr22:19705510-19706557",NA,NA,"","","","UP"
"cg22451910",0.750699617992966,0.577967130996912,104.274807569413,1.93992973785407e-230,6.00228630741959e-228,517.733371335054,NA,NA,NA,"7",100701852,"F","II","MUC17","3'UTR","opensea","3'UTR-opensea","",TRUE,NA,"","","","UP"
"cg25753473",0.776987290492607,0.494418834675359,81.5997284358428,4.714178500036e-230,1.40650882818931e-227,516.909144256059,NA,0.898631875972091,NA,"6",170532835,"F","I","","IGR","shelf","IGR-shelf","chr6:170529588-170530672",NA,NA,"","rs11751600","","UP"
"cg10504751",0.784342529340531,0.416869059504346,80.5960488816339,5.08787231177427e-230,1.46565811353663e-227,516.825469205646,0.044866602731408,0.829209132071939,0.784342529340532,"16",56390830,"R","I","GNAO1","3'UTR","opensea","3'UTR-opensea","",NA,TRUE,"","","","UP"
"cg04328762",0.613763049068646,0.329667232448987,80.0426358173548,5.15301505462774e-229,1.43494292554534e-226,514.511516524521,0.0385681863192865,0.652331235387932,0.613763049068646,"22",19706186,"R","I","SEPT5","Body","island","Body-island","chr22:19705510-19706557",NA,TRUE,"","","","UP"
"cg24940138",0.790505765818296,0.413377632123893,79.8487308046371,1.16372734056588e-228,3.1360574848669e-226,513.697339924255,0.0384520403357866,0.828957806154083,0.790505765818296,"17",41363741,"R","I","TMEM106A","TSS200","island","TSS200-island","chr17:41363727-41364273",TRUE,NA,"","","","UP"
"cg23869335",0.77493367161613,0.403247392435229,79.5085853298995,4.87894384651148e-228,1.2737092779299e-225,512.264811434106,0.0357074224687216,0.810641094084851,0.77493367161613,"2",220159595,"R","I","PTPRN","Body","island","Body-island","chr2:220159438-220159977",NA,NA,"","","","UP"
"cg03300177",0.782644624963694,0.418163559978832,79.2792604136336,1.28629740473194e-227,3.25628136943353e-225,511.295889711266,0.0469663949960517,0.829611019959746,0.782644624963694,"16",56390811,"R","I","GNAO1","3'UTR","opensea","3'UTR-opensea","",NA,TRUE,"","","","UP"
"cg19092164",0.725690432561418,0.417094418211918,79.3559561753363,2.51416336250572e-227,6.17744727363906e-225,510.628133913915,NA,0.797614043308592,NA,"3",45209187,"R","II","","IGR","opensea","IGR-opensea","",TRUE,TRUE,"","","","UP"
"cg00270878",0.771116094551319,0.540218581540349,87.6804975652228,5.28849062728929e-227,1.26228716286785e-224,509.927567722089,NA,NA,NA,"11",64334217,"R","I","SLC22A11","Body","shore","Body-shore","chr11:64335489-64335965",NA,TRUE,"","","","UP"
"cg23505299",0.728848168472987,0.463341621633454,78.8700582891352,1.96286521469061e-226,4.55493777875703e-224,508.574125320734,NA,0.845517022294075,NA,"5",149461424,"F","I","CSF1R","Body","opensea","Body-opensea","",NA,NA,"","rs78560482","","UP"
"cg16952345",0.774246285166129,0.400062333509995,78.5428656284313,2.94222269281679e-226,6.64306172318688e-224,508.167421512868,0.0328483811169168,0.807094666283046,0.774246285166129,"3",193858883,"F","I","","IGR","island","IGR-island","chr3:193858770-193859695",NA,NA,"","","","UP"
"cg11906038",0.703073186164656,0.34903911113186,78.5346458775147,3.04728241463193e-226,6.69920981364083e-224,508.132352693239,0.0155815428366226,0.718654729001279,0.703073186164656,"17",72450232,"F","I","","IGR","island","IGR-island","chr17:72449982-72450617",NA,NA,"","","","UP"
"cg06272916",0.675470411360064,0.384026561768519,78.005577084788,2.93537555270297e-225,6.2877249659694e-223,505.868175548754,0.0636605952377452,0.73913100659781,0.675470411360064,"22",42306237,"R","II","","IGR","island","IGR-island","chr22:42305617-42307254",NA,TRUE,"","","","UP"
"cg25525687",0.584640981568163,0.308541235871819,77.9255531116992,4.13978130056367e-225,8.64593324622722e-223,505.524511377409,0.0312543703280621,0.615895351896225,0.584640981568163,"19",7982713,"R","I","","IGR","island","IGR-island","chr19:7980970-7982983",TRUE,NA,"","","","UP"
"cg08188903",0.677859292628165,0.405181687038606,78.2886158428343,6.2319200285247e-225,1.26979170532428e-222,505.120040436067,NA,0.759694305597015,NA,"14",100680826,"R","II","","IGR","island","IGR-island","chr14:100680269-100680947",NA,TRUE,"","","","UP"
"cg00090619",0.730132816030136,0.454752968303514,77.7989529971535,1.89563127430409e-224,3.77050087274675e-222,504.005871149552,NA,0.837601980720462,NA,"6",33160286,"F","I","COL11A2","TSS200","shore","TSS200-shore","chr6:33160945-33161337",TRUE,TRUE,"high-CpG:33268177-33268468","","","UP"
"cg18945842",0.694706930954933,0.350927776754252,77.1988739735361,9.5310061727719e-224,1.85167501319387e-221,502.389238611791,0.0214382037870551,0.716145134741989,0.694706930954934,"22",42306589,"R","I","","IGR","island","IGR-island","chr22:42305617-42307254",NA,TRUE,"","","","UP"
"cg17213402",0.714488799764748,0.378099551817519,76.7739279668911,6.03931824766497e-223,1.14085759570213e-220,500.54355693973,0.0392277210719524,0.753716520836701,0.714488799764748,"2",5813650,"F","I","","IGR","island","IGR-island","chr2:5813482-5813710",TRUE,TRUE,"","","","UP"
"cg00467244",0.81998120667246,0.460372964727656,77.216873978399,6.14539044847927e-223,1.14085759570213e-220,500.530773850382,NA,0.889213710746012,NA,"8",142428240,"F","I","","IGR","island","IGR-island","chr8:142427854-142428351",NA,NA,"","","","UP"
"cg24454932",0.766117750516887,0.476696452299767,76.7216234215886,7.58500118366e-223,1.37750217148469e-220,500.31575107618,0.113337747768901,0.879455498285788,0.766117750516887,"6",170532633,"R","I","","IGR","shore","IGR-shore","chr6:170529588-170530672",NA,NA,"","","","UP"
"cg05866411",0.696477730232819,0.396363648881333,76.6577941305025,1.00186904206737e-222,1.78076893136825e-220,500.037562874428,0.0660342111137677,0.762511941346587,0.696477730232819,"4",1006278,"F","I","FGFRL1","Body","island","Body-island","chr4:1005930-1006282",NA,NA,"","","","UP"
"cg19115941",0.758907716294886,0.397975299247782,76.265283898383,5.57137021348454e-222,9.69650557571871e-220,498.322325967503,0.0380362109479221,0.796943927242808,0.758907716294886,"12",187284,"F","I","IQSEC3","Body","island","Body-island","chr12:186863-187610",NA,NA,"","","","UP"
"cg23245297",0.716419763086178,0.380573594769593,75.9075417973659,2.67961463464333e-221,4.56846952200212e-219,496.752160114114,0.040785935705863,0.757205698792041,0.716419763086178,"19",3275842,"R","I","BRUNOL5","Body","island","Body-island","chr19:3275608-3275970",NA,TRUE,"","","","UP"
"cg08572315",0.758537220638586,0.482491208263068,80.5602440804057,4.32308157394336e-221,7.22300469374456e-219,496.316583706144,NA,0.859461220944062,NA,"2",85133831,"R","II","","IGR","shore","IGR-shore","chr2:85131950-85132234",NA,NA,"","","","UP"
"cg17299899",0.703067141962224,0.42835479965256,75.7636163871775,5.05008617444695e-221,8.27223919633918e-219,496.118599069387,0.0949000980361908,0.797967239998415,0.703067141962224,"18",76738478,"R","II","","IGR","island","IGR-island","chr18:76737005-76741244",NA,NA,"","","","UP"
"cg17701886",0.773496400251353,0.453557506070972,75.8987410944744,7.23781072050705e-221,1.162782129983e-218,495.76121209404,NA,0.859144443738587,NA,"3",182970833,"R","II","MCF2L2","Body","shore","Body-shore","chr3:182971429-182972635",NA,NA,"","","","UP"
"cg08835847",0.656872398142056,0.373715607813422,75.6684376079757,7.68354770259504e-221,1.21110108504677e-218,495.699033022045,0.0621704132660471,0.719042811408103,0.656872398142056,"17",72450692,"R","I","","IGR","shore","IGR-shore","chr17:72449982-72450617",NA,NA,"","","","UP"
"cg00976453",0.735286442717489,0.384190428516426,75.6451613427673,8.51462661097807e-221,1.31724427237242e-218,495.59635545547,0.0354545728275594,0.770741015545048,0.735286442717489,"20",48099479,"F","I","KCNB1","TSS1500","island","TSS1500-island","chr20:48098512-48099560",NA,NA,"","","","UP"
"cg03513762",0.77162863344202,0.437296152120323,75.9335695705866,1.61691582946609e-220,2.45594815261085e-218,494.960072971985,NA,0.840849058115862,NA,"6",30923420,"R","I","","IGR","island","IGR-island","chr6:30923208-30923624",TRUE,TRUE,"","","rs9278816","UP"
"cg04797170",0.741705937117459,0.428062580697904,75.5652689055215,3.13599959259521e-220,4.67823939223935e-218,494.295394505575,NA,0.81698002050448,NA,"2",85133881,"R","II","","IGR","shore","IGR-shore","chr2:85131950-85132234",NA,NA,"","","","UP"
"cg25247183",0.705359231499754,0.406982095298352,74.8420755760725,2.99621571890426e-219,4.39129580977653e-217,492.03644088249,0.0724402883584685,0.777799519858223,0.705359231499754,"22",38073049,"R","I","LGALS1","Body","island","Body-island","chr22:38073037-38073412",TRUE,NA,"","","","UP"
"cg23060872",0.708527492538817,0.37109888797222,74.840011806049,7.76028306133199e-219,1.11774835679944e-216,491.087491692465,NA,0.742619034489708,NA,"2",71205685,"R","I","ANKRD53","1stExon","island","1stExon-island","chr2:71205563-71206529",TRUE,TRUE,"","","","UP"
"cg23313885",0.744359213277028,0.483188432944321,76.8564450991407,1.86467717004921e-218,2.6402564539985e-216,490.235198090672,NA,NA,NA,"8",133773115,"R","I","TMEM71","TSS1500","opensea","TSS1500-opensea","",TRUE,NA,"","","","UP"
"cg11935153",0.752908764284473,0.42144074813043,74.4232112154773,1.94511395396024e-218,2.70824699523064e-216,490.166239940824,0.0643468770697939,0.817255641354267,0.752908764284473,"6",30923306,"F","II","","IGR","island","IGR-island","chr6:30923208-30923624",TRUE,TRUE,"","","","UP"
"cg13586420",0.717866926491193,0.381048676960238,74.4166057042324,2.0034956609625e-218,2.74380372978372e-216,490.136672209166,0.0405746489672722,0.758441575458465,0.717866926491193,"6",33160262,"F","I","COL11A2","TSS200","island","TSS200-island","chr6:33159991-33160263",TRUE,TRUE,"high-CpG:33268177-33268468","","","UP"
"cg19963025",0.789528840648217,0.421174918821332,74.4515574233571,4.37678270022873e-218,5.89736172221142e-216,489.357952912694,NA,0.835168551596758,NA,"22",29426649,"R","I","ZNRF3","Body","island","Body-island","chr22:29426510-29426843",NA,NA,"","","","UP"
"cg13298682",0.74444878569357,0.474065964977419,75.8340219803054,7.92754631355295e-218,1.05121780799081e-215,488.781469569755,NA,0.857174112001011,NA,"22",29426575,"R","II","ZNRF3","Body","island","Body-island","chr22:29426510-29426843",NA,NA,"","","","UP"
"cg22388634",0.734125569957627,0.379003252027217,74.0497625124632,1.03904743935505e-217,1.35628161068313e-215,488.490944816262,0.0308179817044566,0.764943551662084,0.734125569957627,"20",25058429,"F","I","VSX1","Body","island","Body-island","chr20:25058288-25058726",TRUE,NA,"","","","UP"
"cg02423318",0.789491413425056,0.434819996060271,73.9194448545844,1.86778880770048e-217,2.4005396460815e-215,487.904580016811,0.0603754971215296,0.849866910546587,0.789491413425057,"7",65509125,"R","I","","IGR","island","IGR-island","chr7:65509074-65509594",TRUE,NA,"","","","UP"
"cg21792155",0.728423587523234,0.407558462517819,73.8495207726378,2.55946873937066e-217,3.2396669467731e-215,487.58957976732,0.0620775610067992,0.790501148530033,0.728423587523234,"3",46940347,"F","I","PTH1R","Body","island","Body-island","chr3:46940054-46940394",NA,NA,"","","","UP"
"cg18079128",0.661402457937829,0.395430271557231,73.6115017880513,7.49447705999573e-217,9.34460617301558e-215,486.515352990041,0.0817365343638608,0.74313899230169,0.661402457937829,"20",10652722,"F","II","JAG1","Body","island","Body-island","chr20:10652573-10655611",NA,NA,"high-CpG:10600608-10600792","","","UP"
"cg26008007",0.643581352466913,0.327671764191829,73.2886970290114,3.23339817717287e-216,3.97232476060326e-214,485.053564205145,0.0224303227360927,0.666011675203006,0.643581352466913,"2",232545866,"F","I","","IGR","island","IGR-island","chr2:232545347-232546143",NA,TRUE,"","","","UP"
"cg05913906",0.672816681405419,0.36184759338239,73.0630451944193,9.01460077424285e-216,1.09141992562355e-213,484.028348788129,0.0427402530586768,0.715556934464096,0.672816681405419,"6",30923370,"R","II","","IGR","island","IGR-island","chr6:30923208-30923624",TRUE,TRUE,"","","","UP"
"cg25291551",0.653560981946739,0.333333237570109,72.5594321284194,8.97643675832823e-215,1.07127360970106e-212,481.730168523035,0.0233586004182268,0.676919582364966,0.653560981946739,"11",46402666,"F","I","MDK","1stExon","island","1stExon-island","chr11:46402624-46404139",NA,NA,"","","rs11557364","UP"
"cg20564913",0.744935304499426,0.421326779927085,72.6341272355372,1.59416543239697e-214,1.87572648200624e-212,481.158595890868,NA,0.811937555638818,NA,"4",1006270,"F","I","FGFRL1","5'UTR","island","5'UTR-island","chr4:1005930-1006282",NA,NA,"","","","UP"
"cg23674344",0.681565442391326,0.372221376040033,72.3540317571243,2.30115740191035e-214,2.66998179660542e-212,480.788819301927,0.0489646233630037,0.73053006575433,0.681565442391326,"17",48503163,"F","I","ACSF2","TSS1500","island","TSS1500-island","chr17:48503056-48503887",NA,NA,"","","","UP"
"cg07476617",0.706167053293267,0.400918013080748,72.3916527719715,4.82579380102407e-214,5.52255909777467e-212,480.051034765882,NA,0.771200450767475,NA,"2",201981834,"R","II","CFLAR","5'UTR","shore","5'UTR-shore","chr2:201983198-201983709",TRUE,NA,"","","","UP"
"cg25604994",0.712769303856674,0.39104632119958,72.3003390699817,7.32972202668896e-214,8.27466186634588e-212,479.633091991969,NA,0.764790683966833,NA,"2",201983264,"R","II","CFLAR","5'UTR","island","5'UTR-island","chr2:201983198-201983709",NA,TRUE,"","","","UP"
"cg08332074",0.679609142267213,0.42965987140282,71.7322602147797,4.03429625686192e-213,4.4936681239766e-211,477.924876305271,0.107330963927513,0.786940106194726,0.679609142267212,"16",51189941,"R","II","","IGR","island","IGR-island","chr16:51189800-51190260",NA,NA,"","","","UP"
"cg04779720",0.668230816898759,0.344256262552467,71.6367856796382,6.27468106184899e-213,6.89719547245875e-211,477.483185043958,0.0273239322519128,0.695554749150672,0.668230816898759,"1",11919376,"F","I","NPPB","TSS1500","island","TSS1500-island","chr1:11919115-11919555",NA,NA,"","","","UP"
"cg05211768",0.762535163148595,0.45530222001654,71.270960667064,3.42500008468943e-212,3.71590268928513e-210,475.785994661233,0.0936426854946343,0.85617784864323,0.762535163148595,"15",91427848,"R","I","FES","5'UTR","island","5'UTR-island","chr15:91427540-91427905",TRUE,NA,"","","","UP"
"cg27042266",0.80247888272668,0.439223208867888,71.3183455637596,6.75931134530841e-212,7.23939576650082e-210,475.108995336802,NA,0.860007264853511,NA,"15",37175007,"R","I","LOC145845","Body","shore","Body-shore","chr15:37172473-37173018",NA,NA,"","","","UP"
"cg01243297",0.753413496053202,0.409263395425677,71.0926074930644,7.85603299655451e-212,8.30750628521727e-210,474.955787321908,0.0519301372975864,0.805343633350789,0.753413496053203,"6",33160292,"F","I","COL11A2","TSS200","shore","TSS200-shore","chr6:33160945-33161337",TRUE,TRUE,"high-CpG:33268177-33268468","","","UP"
"cg23373640",0.703837594277852,0.448809432662711,71.0161982234086,1.12177581133074e-211,1.17141439098212e-209,474.599556584578,0.114989316519501,0.818826910797352,0.703837594277852,"14",65696480,"R","II","","IGR","opensea","IGR-opensea","",NA,TRUE,"","","","UP"
"cg03027661",0.59390524643263,0.334950753891613,70.9970887732534,1.22636237914725e-211,1.2565920428129e-209,474.510413309512,0.0532699798692796,0.64717522630191,0.59390524643263,"22",29426832,"F","I","ZNRF3","Body","island","Body-island","chr22:29426510-29426843",NA,NA,"","","","UP"
"cg16802592",0.74039949380525,0.474583914175762,71.1886743581521,1.23342766950751e-211,1.2565920428129e-209,474.507520703746,NA,0.862816313506309,NA,"15",37179603,"R","II","LOC145845","TSS1500","island","TSS1500-island","chr15:37179516-37179782",NA,NA,"","","","UP"
"cg06630737",0.675256698174326,0.405865942355187,71.4005858155923,2.81023662213756e-211,2.82852008931773e-209,473.689712786792,NA,0.758089176849576,NA,"1",11752109,"F","II","MAD2L2","TSS1500","island","TSS1500-island","chr1:11750701-11752651",NA,NA,"","rs6679089","","UP"
"cg22632840",0.662644007532729,0.3407518585552,70.8930323027613,4.87763729149453e-211,4.85092642061254e-209,473.132607501663,NA,0.688212756487834,NA,"11",67071646,"F","I","SSH3","Body","island","Body-island","chr11:67070807-67071801",TRUE,NA,"","","","UP"
"cg17349081",0.731787875695365,0.408878133410937,70.509627364216,1.20008429914685e-210,1.17947108647915e-208,472.229353704002,0.0618015980811352,0.793589473776501,0.731787875695366,"9",82188559,"F","II","TLE4","Body","island","Body-island","chr9:82185479-82188560",NA,NA,"","","","UP"
"cg11837293",0.777627395545845,0.522714984417475,80.7781968392543,1.72991280583599e-210,1.68042925348301e-208,471.966106361159,NA,NA,NA,"20",52356911,"R","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","UP"
"cg11979837",0.675361156379189,0.457729088631318,70.4194148595183,1.83310824364613e-210,1.76020531809423e-208,471.805699851122,0.137414940177188,0.812776096556377,0.67536115637919,"19",3047669,"R","II","TLE2","TSS200","shore","TSS200-shore","chr19:3047224-3047444",NA,NA,"","","","UP"
"cg02502361",0.668890940238702,0.360470357134,70.4086119447214,1.9285589208866e-210,1.83081604830531e-208,471.754935751721,0.0432249397636445,0.712115880002346,0.668890940238702,"9",135117928,"F","II","NTNG2","3'UTR","island","3'UTR-island","chr9:135116147-135117929",NA,NA,"","","","UP"
"cg17238412",0.620571019633287,0.314857773225476,70.3698005328587,2.31449911556592e-210,2.17250849566716e-208,471.572500604426,0.0205298039136887,0.641100823546976,0.620571019633287,"11",116450919,"F","I","","IGR","island","IGR-island","chr11:116450659-116451912",TRUE,TRUE,"","","","UP"
"cg03962809",0.696510942168273,0.414647833965297,70.2438664524753,4.18583438954546e-210,3.88538449891809e-208,470.97993645439,0.0843026442512022,0.780813586419475,0.696510942168273,"2",201983199,"R","II","CFLAR","5'UTR","island","5'UTR-island","chr2:201983198-201983709",NA,TRUE,"","","rs13396899","UP"
"cg13635007",0.787513863972781,0.41628942118942,70.1940831747252,5.29195343247838e-210,4.858129557684e-208,470.745433468609,0.0427828457051868,0.830296709677968,0.787513863972781,"8",29210154,"R","I","","IGR","shore","IGR-shore","chr8:29210483-29210801",NA,NA,"","","rs74878243","UP"
"cg01554060",0.693796380814731,0.367159608974494,70.11522989446,7.67435867076336e-210,6.96865134082142e-208,470.373700483546,0.0381018969309356,0.731898277745666,0.693796380814731,"5",114938002,"F","I","TMED7-TICAM2","Body","island","Body-island","chr5:114937613-114938149",TRUE,NA,"","","","UP"
"cg03854262",0.592900674156523,0.351285136407979,70.1169255555471,1.84514976931292e-209,1.65746034116561e-207,469.499286340695,NA,0.662175747785182,NA,"9",95896872,"R","II","NINJ1","TSS1500","island","TSS1500-island","chr9:95896007-95897016",NA,NA,"","","","UP"
"cg10706230",0.614322060669707,0.326902858077922,69.6296669273999,7.63042597699119e-209,6.78133815018983e-207,468.07659628352,0.0355386807317174,0.649860741401425,0.614322060669708,"1",25944514,"R","I","MAN1C1","1stExon","island","1stExon-island","chr1:25944099-25944772",NA,NA,"","","","UP"
"cg01566260",0.628350788086404,0.349748467989325,69.6149336183283,8.18294781731543e-209,7.19582590166875e-207,468.006678522425,0.0517306656397735,0.680081453726177,0.628350788086404,"1",32180356,"F","I","","IGR","island","IGR-island","chr1:32180131-32180487",NA,TRUE,"","","","UP"
"cg25038060",0.745698635392286,0.396250782996102,69.5563850258059,1.08047826138912e-208,9.40241187046323e-207,467.728705790249,0.0425765730671884,0.788275208459475,0.745698635392287,"17",74497306,"F","I","RHBDF2","5'UTR","island","5'UTR-island","chr17:74496992-74497632",NA,NA,"","","","UP"
"cg22277636",0.666977226615517,0.33802425898414,69.4087544926758,2.17955321901056e-208,1.87711212284683e-206,467.026893597992,0.0216864886464944,0.688663715262011,0.666977226615517,"2",218621320,"F","I","DIRC3","TSS200","island","TSS200-island","chr2:218621279-218621498",TRUE,NA,"","","rs35237480","UP"
"cg18179075",0.699954041763615,0.388061300453866,69.3844346918389,2.4469447129269e-208,2.08589552365217e-206,466.911156876759,0.0560830977888371,0.756037139552451,0.699954041763614,"7",129913008,"R","II","CPA2","Body","opensea","Body-opensea","",NA,TRUE,"","","","UP"
"cg14394253",0.694265764035185,0.354931613097921,69.3776662408759,2.52704987333831e-208,2.13242168099679e-206,466.878939895933,0.0256512792983765,0.719917043333562,0.694265764035185,"9",95896880,"R","I","NINJ1","TSS1500","island","TSS1500-island","chr9:95896007-95897016",NA,NA,"","","","UP"
