"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ASTRO_AVG","GBM_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10","diffexpressed"
"cg17213402",-0.708715220927767,0.444678754439931,-83.01929667754,3.00645509844245e-269,2.28326599021711e-266,606.943972046836,0.747942941999719,0.0392277210719524,-0.708715220927767,"2",5813650,"F","I","","IGR","island","IGR-island","chr2:5813482-5813710",TRUE,TRUE,"","","","DOWN"
"cg05651778",-0.694711787890964,0.432513085136205,-82.7763719423346,9.99504691275753e-269,6.95821849243137e-266,605.743682702374,0.729785106001176,0.0350733181102113,-0.694711787890965,"17",60729731,"R","I","MRC2","Body","island","Body-island","chr17:60729645-60730269",NA,NA,"","","","DOWN"
"cg17701886",-0.750092809970467,0.515023600596496,-82.8425223978925,4.73057140593654e-268,3.03993796347645e-265,604.192604325632,NA,NA,NA,"3",182970833,"R","II","MCF2L2","Body","shore","Body-shore","chr3:182971429-182972635",NA,NA,"","","","DOWN"
"cg02423318",-0.781657289731129,0.507556179153757,-81.6988546326401,2.13962450548921e-266,1.27674450848977e-263,600.381798168285,0.842032786852659,0.0603754971215296,-0.78165728973113,"7",65509125,"R","I","","IGR","island","IGR-island","chr7:65509074-65509594",TRUE,NA,"","","","DOWN"
"cg23245297",-0.695667385611525,0.438772393520829,-81.0334478995295,6.06813952516717e-265,3.3795491728831e-262,597.039355701865,0.736453321317388,0.040785935705863,-0.695667385611525,"19",3275842,"R","I","BRUNOL5","Body","island","Body-island","chr19:3275608-3275970",NA,TRUE,"","","","DOWN"
"cg03300177",-0.756061568249105,0.479503943343214,-80.9416036475516,9.64696223921117e-265,5.03692015914813e-262,596.576109017416,0.803027963245156,0.0469663949960517,-0.756061568249105,"16",56390811,"R","I","GNAO1","3'UTR","opensea","3'UTR-opensea","",NA,TRUE,"","","","DOWN"
"cg05211768",-0.749322568712898,0.522324899223409,-80.1902258954933,4.35572764931271e-263,2.14045581072696e-260,592.768819418504,0.842965254207533,0.0936426854946343,-0.749322568712899,"15",91427848,"R","I","FES","5'UTR","island","5'UTR-island","chr15:91427540-91427905",TRUE,NA,"","","","DOWN"
"cg08332074",-0.678844561635105,0.495693201514108,-80.0515057588804,8.83137524134253e-263,4.09873937589864e-260,592.062487082328,0.786175525562619,0.107330963927513,-0.678844561635105,"16",51189941,"R","II","","IGR","island","IGR-island","chr16:51189800-51190260",NA,NA,"","","","DOWN"
"cg13298682",-0.737903417215385,0.542877555300296,-81.446976876546,1.27906391026071e-262,5.62384205595684e-260,591.701644874599,0.850628743522826,NA,NA,"22",29426575,"R","II","ZNRF3","Body","island","Body-island","chr22:29426510-29426843",NA,NA,"","","","DOWN"
"cg04779720",-0.699195365481074,0.427328722736434,-79.9169132889816,1.75511744018997e-262,7.33112554767349e-260,591.376144103593,0.726519297732986,0.0273239322519128,-0.699195365481073,"1",11919376,"F","I","NPPB","TSS1500","island","TSS1500-island","chr1:11919115-11919555",NA,NA,"","","","DOWN"
"cg08188903",-0.675403948214931,0.470034478531636,-80.2199356817869,2.32323465369467e-262,9.2420487128406e-260,591.098459557869,0.75723896118378,NA,NA,"14",100680826,"R","II","","IGR","island","IGR-island","chr14:100680269-100680947",NA,TRUE,"","","","DOWN"
"cg13975336",-0.615309902039894,0.39556442017821,-79.7382157790294,4.37527793303791e-262,1.6614123569363e-259,590.463322259892,0.658859820120862,0.0435499180809674,-0.615309902039895,"16",67204216,"R","II","","IGR","island","IGR-island","chr16:67204208-67204637",NA,TRUE,"","","","DOWN"
"cg25813864",-0.77691333350143,0.493710195721968,-79.3727411811524,2.84944523269196e-261,1.03496806408298e-258,588.590807754896,0.826156831452813,0.0492434979513824,-0.776913333501431,"17",38334176,"R","I","RAPGEFL1","TSS200","island","TSS200-island","chr17:38333605-38334795",TRUE,NA,"","","","DOWN"
"cg23657185",-0.733895541119941,0.487302877120786,-79.3427339115308,8.1973363518389e-261,2.85335616180259e-258,587.536158585923,0.800363212843279,NA,NA,"6",99272559,"F","II","","IGR","island","IGR-island","chr6:99272394-99273014",NA,TRUE,"","","","DOWN"
"cg24940138",-0.752862131738264,0.469159213376747,-79.1031022793275,1.14084028017561e-260,3.81223188023482e-258,587.204461710755,0.791314172074051,0.0384520403357866,-0.752862131738264,"17",41363741,"R","I","TMEM106A","TSS200","island","TSS200-island","chr17:41363727-41364273",TRUE,NA,"","","","DOWN"
"cg24284369",-0.69966678753794,0.429474794989563,-79.0770361694153,1.30484839204809e-260,4.19257825660374e-258,587.070223906191,0.72886709477324,0.0292003072352994,-0.699666787537941,"12",109592987,"F","I","ACACB","Body","shore","Body-shore","chr12:109592315-109592633",NA,NA,"","rs74854241","","DOWN"
"cg12565681",-0.758759714698998,0.479977854458968,-78.8333254004817,4.58974427204924e-260,1.42010087587775e-257,585.813262429384,0.804656430051096,0.0458967153520995,-0.758759714698997,"17",74497418,"F","I","RHBDF2","5'UTR","island","5'UTR-island","chr17:74496992-74497632",NA,NA,"high-CpG:72009001-72009107","","","DOWN"
"cg11935153",-0.734591564506893,0.484601586066761,-78.3879977946635,4.61001307044668e-259,1.37543032823256e-256,583.507645982624,0.798938441576688,0.0643468770697939,-0.734591564506894,"6",30923306,"F","II","","IGR","island","IGR-island","chr6:30923208-30923624",TRUE,TRUE,"","","","DOWN"
"cg10706230",-0.644637399406582,0.404331239461995,-78.2530288963133,9.29684771697624e-259,2.67813330440067e-256,582.806607068332,0.680176080138299,0.0355386807317174,-0.644637399406582,"1",25944514,"R","I","MAN1C1","1stExon","island","1stExon-island","chr1:25944099-25944772",NA,NA,"","","","DOWN"
"cg20564913",-0.728710068818043,0.484863968923165,-78.3988020161853,1.06352958710014e-258,2.96157539021154e-256,582.673640934061,0.795712319957435,NA,NA,"4",1006270,"F","I","FGFRL1","5'UTR","island","5'UTR-island","chr4:1005930-1006282",NA,NA,"","","","DOWN"
"cg15826437",-0.717335434275623,0.446310823252618,-78.1566211726234,1.53537118377121e-258,4.13757769974991e-256,582.305211920689,0.753263660244978,0.035928225969354,-0.717335434275624,"17",38334186,"R","I","RAPGEFL1","TSS200","island","TSS200-island","chr17:38333605-38334795",TRUE,NA,"","","","DOWN"
"cg19963025",-0.773557365646137,0.489218060479893,-78.298444594962,1.78939875048679e-258,4.67144911298958e-256,582.153660996161,0.819197076594679,NA,NA,"22",29426649,"R","I","ZNRF3","Body","island","Body-island","chr22:29426510-29426843",NA,NA,"","","","DOWN"
"cg07198194",-0.700707514953067,0.455802302814098,-77.7891039807642,1.04455272625411e-257,2.64430105306874e-255,580.388879330601,0.755639937119597,0.0549324221665293,-0.700707514953067,"10",3109053,"R","I","PFKP","TSS1500","island","TSS1500-island","chr10:3108650-3111419",NA,NA,"","","","DOWN"
"cg23060872",-0.694063496686478,0.432085994596285,-77.7950425236591,2.45434670733227e-257,6.03047423325112e-255,579.536589973254,0.72815503863737,NA,NA,"2",71205685,"R","I","ANKRD53","1stExon","island","1stExon-island","chr2:71205563-71206529",TRUE,TRUE,"","","","DOWN"
"cg23674344",-0.659122250081487,0.426043864107296,-77.5954098552813,2.87854331847054e-257,6.8706716807151e-255,579.375731945265,0.708086873444491,0.0489646233630037,-0.659122250081487,"17",48503163,"F","I","ACSF2","TSS1500","island","TSS1500-island","chr17:48503056-48503887",NA,NA,"","","","DOWN"
"cg00330929",-0.691943948982381,0.486891227855924,-77.2693141475474,1.5940417496009e-256,3.69906243782386e-254,577.665057580329,0.782978871141408,0.0910349221590261,-0.691943948982382,"19",2282010,"F","I","C19orf35","5'UTR","shelf","5'UTR-shelf","chr19:2278605-2278848",TRUE,TRUE,"","rs78379113","","DOWN"
"cg17105609",-0.70329569543069,0.476811845809438,-77.3618741004712,2.36382492439292e-256,5.3371333563185e-254,577.27281382403,0.776819100503649,NA,NA,"4",1006237,"R","I","FGFRL1","5'UTR","island","5'UTR-island","chr4:1005930-1006282",NA,NA,"","","","DOWN"
"cg00474080",-0.72988902038227,0.457277383530829,-77.2211076749239,4.94660057067852e-256,1.0874710833539e-253,576.534782396198,0.768628643973616,NA,NA,"6",30923243,"R","I","","IGR","island","IGR-island","chr6:30923208-30923624",NA,TRUE,"","","","DOWN"
"cg04770813",-0.765747373200536,0.487745641782627,-76.0455296174568,1.03862223137159e-253,2.22478208227647e-251,571.188787141909,0.81541428519867,0.0496669119981346,-0.765747373200535,"6",33160297,"F","I","COL11A2","TSS200","shore","TSS200-shore","chr6:33160945-33161337",TRUE,TRUE,"high-CpG:33268177-33268468","","","DOWN"
"cg08442798",-0.703702022399871,0.423997439954849,-76.0170511520148,1.20893765376242e-253,2.52486628988282e-251,571.037007468744,0.725116444888748,0.0214144224888763,-0.703702022399872,"11",72388033,"F","I","","IGR","opensea","IGR-opensea","",NA,NA,"","","","DOWN"
"cg22388634",-0.716369256481031,0.440647835412209,-75.9422345239159,1.80199947696275e-253,3.67168381232849e-251,570.638028239438,0.747187238185488,0.0308179817044566,-0.716369256481031,"20",25058429,"F","I","VSX1","Body","island","Body-island","chr20:25058288-25058726",TRUE,NA,"","","","DOWN"
"cg01566260",-0.659834409057063,0.429217327565442,-75.4467929591612,2.55514152103051e-252,5.08229815873545e-250,567.987355504442,0.711565074696836,0.0517306656397735,-0.659834409057063,"1",32180356,"F","I","","IGR","island","IGR-island","chr1:32180131-32180487",NA,TRUE,"","","","DOWN"
"cg14338887",-0.723307191518515,0.458007020169267,-75.3544684125537,4.19509616805307e-252,8.15019381114311e-250,567.491748453005,0.767515213749283,0.0442080222307679,-0.723307191518515,"6",42928500,"R","I","GNMT","1stExon","island","1stExon-island","chr6:42928218-42928810",TRUE,NA,"","","","DOWN"
"cg00090619",-0.706428269869782,0.512553906853418,-75.5081353401266,4.34237189142313e-252,8.24458517748837e-250,567.458996056051,0.813897434560108,NA,NA,"6",33160286,"F","I","COL11A2","TSS200","shore","TSS200-shore","chr6:33160945-33161337",TRUE,TRUE,"high-CpG:33268177-33268468","","","DOWN"
"cg04178858",-0.741390512199721,0.454609935102188,-75.14159974607,3.10103836474462e-251,5.75690544423923e-249,565.493913582568,NA,0.0312050971326505,NA,"17",38334170,"R","I","RAPGEFL1","TSS200","island","TSS200-island","chr17:38333605-38334795",TRUE,NA,"","","","DOWN"
"cg01807377",-0.637045969766918,0.432179729009779,-74.7773423650205,9.41697834906845e-251,1.71020515495908e-248,564.381770759976,0.70477614397981,0.0677301742128911,-0.637045969766919,"1",11919215,"R","I","NPPB","TSS1500","island","TSS1500-island","chr1:11919115-11919555",NA,NA,"","","","DOWN"
"cg05896042",-0.701569084695894,0.44687450102334,-74.6412477802973,1.96714942266305e-250,3.49650346317597e-248,563.64538489869,0.747080807032745,0.0455117223368514,-0.701569084695894,"19",11450090,"R","I","RAB3D","5'UTR","island","5'UTR-island","chr19:11450016-11450414",NA,TRUE,"","","","DOWN"
"cg00543499",-0.715512653125045,0.563908947972108,-79.2438939326948,1.89428435046501e-249,3.29684405495514e-247,561.424957478173,NA,NA,NA,"1",51984042,"R","II","EPS15","Body","shore","Body-shore","chr1:51984547-51985216",NA,NA,"","","","DOWN"
"cg13213923",-0.689556844037635,0.462440370030602,-74.1321732253625,3.12599157565406e-249,5.32949665775796e-247,560.880598750866,0.757506554456009,0.0679497104183734,-0.689556844037636,"17",60885491,"R","I","MARCH10","5'UTR","island","5'UTR-island","chr17:60885408-60885857",TRUE,NA,"","","","DOWN"
"cg09552692",-0.594061156197586,0.383472091621991,-74.0566587848902,4.71804397885739e-249,7.88290787987493e-247,560.469092842094,0.637675004971656,0.0436138487740698,-0.594061156197586,"15",66274614,"R","I","MEGF11","Body","island","Body-island","chr15:66274583-66274838",TRUE,TRUE,"","","","DOWN"
"cg19814309",-0.744828615385452,0.472590626471244,-74.3080629304064,6.51837860663214e-249,1.06773597803539e-246,560.149668857363,0.789316813387488,NA,NA,"19",3275998,"R","I","BRUNOL5","Body","shore","Body-shore","chr19:3275608-3275970",NA,TRUE,"","","","DOWN"
"cg11567001",-0.711807790302072,0.460560692171831,-74.0832461676159,9.48271101723307e-249,1.52343399688394e-246,559.773111753433,0.764198980342645,NA,NA,"7",150942958,"R","I","SMARCD3","Body","island","Body-island","chr7:150942304-150943033",NA,TRUE,"","","rs35517781","DOWN"
"cg25604994",-0.711646242008112,0.460098246156769,-74.0128744109635,1.39080578488816e-248,2.19222481640673e-246,559.390242859941,0.763667622118272,NA,NA,"2",201983264,"R","II","CFLAR","5'UTR","island","5'UTR-island","chr2:201983198-201983709",NA,TRUE,"","","","DOWN"
"cg25467973",-0.762781920961121,0.464019605305856,-73.3587269158926,2.15503196908309e-247,3.33391427217039e-245,556.648699293737,0.790419311019453,0.0276373900583312,-0.762781920961121,"1",3663705,"R","I","KIAA0495","1stExon","island","1stExon-island","chr1:3662963-3664085",NA,NA,"","","","DOWN"
"cg10642240",-0.716908949450185,0.459154413721572,-73.1887304973301,5.49214877485495e-247,8.3420747027524e-245,555.713453545612,0.765924754881651,0.0490158054314656,-0.716908949450185,"5",139126512,"F","I","","IGR","island","IGR-island","chr5:139125902-139127711",NA,NA,"","rs2546539","","DOWN"
"cg09644722",-0.601905389114166,0.378243266528064,-73.0719547220749,1.04544070245581e-246,1.55957350505639e-244,555.069929004187,0.635802781869939,0.0338973927557741,-0.601905389114165,"17",60885519,"R","I","MARCH10","5'UTR","island","5'UTR-island","chr17:60885408-60885857",TRUE,NA,"","","","DOWN"
"cg27042266",-0.782026695532426,0.505963270474096,-73.2186123782156,1.07159069825372e-246,1.57053836723011e-244,555.047172165677,0.839555077659257,NA,NA,"15",37175007,"R","I","LOC145845","Body","shore","Body-shore","chr15:37172473-37173018",NA,NA,"","","","DOWN"
"cg17120764",-0.652683250931396,0.416705715125959,-73.0183952275095,1.4049016689932e-246,2.02354285220159e-244,554.774481233249,0.69599343180358,0.0433101808721832,-0.652683250931397,"10",90750249,"R","I","FAS","TSS200","shore","TSS200-shore","chr10:90750293-90751108",TRUE,NA,"","","","DOWN"
"cg00326958",-0.693570551290718,0.463156845587044,-72.9852439764378,3.86993617591453e-246,5.47956725654068e-244,553.763443692772,0.759015612221547,NA,NA,"10",43892075,"R","II","HNRNPF","5'UTR","island","5'UTR-island","chr10:43891546-43892917",TRUE,NA,"","","","DOWN"
"cg03367264",-0.75598842368901,0.493758457979296,-72.8595733920456,7.73826502069828e-246,1.07742443304856e-243,553.07069448298,0.81624303032216,NA,NA,"10",13392131,"F","I","","IGR","opensea","IGR-opensea","",TRUE,NA,"","","","DOWN"
"cg08774969",-0.612108418378498,0.413194978397195,-72.2338019876787,1.08895021644552e-244,1.49132624724359e-242,550.425156964185,0.675120441145204,0.0630120227667054,-0.612108418378498,"4",1006240,"F","I","FGFRL1","5'UTR","island","5'UTR-island","chr4:1005930-1006282",NA,NA,"","","","DOWN"
"cg05976753",-0.642744240285093,0.445499961336619,-72.2041697979775,1.28441315319377e-244,1.7306431422227e-242,550.260106980074,0.720534706016752,0.0777904657316594,-0.642744240285093,"8",29205988,"F","II","DUSP4","Body","island","Body-island","chr8:29205664-29209847",NA,NA,"","","","DOWN"
"cg03962809",-0.675935262803126,0.471000492273456,-71.8795169482522,7.86781926812492e-244,1.04329781215739e-241,548.448025737153,0.760237907054329,0.0843026442512022,-0.675935262803127,"2",201983199,"R","II","CFLAR","5'UTR","island","5'UTR-island","chr2:201983198-201983709",NA,TRUE,"","","rs13396899","DOWN"
"cg03027661",-0.571682453582731,0.380325523081726,-71.6186759412781,3.39207659400309e-243,4.42771997910966e-241,546.987076924,0.62495243345201,0.0532699798692796,-0.571682453582731,"22",29426832,"F","I","ZNRF3","Body","island","Body-island","chr22:29426510-29426843",NA,NA,"","","","DOWN"
"cg24208375",-0.669386988510054,0.437313490236673,-71.5701089255792,4.45493931526651e-243,5.72562508303638e-241,546.714559044104,0.723748852761906,0.0543618642518515,-0.669386988510054,"6",31704282,"F","I","CLIC1","1stExon","shelf","1stExon-shelf","chr6:31707489-31708336",NA,NA,"low-CpG:31811716-31812336","rs3131383","","DOWN"
"cg22124775",-0.690559969431948,0.482990427631918,-71.6604915992444,6.05891481216512e-243,7.66911732436779e-241,546.4091733271,0.777564960046945,NA,NA,"8",107670759,"F","II","OXR1","Body","shore","Body-shore","chr8:107669777-107670591",NA,NA,"","","rs72682834","DOWN"
"cg22230604",-0.645649405123346,0.448900008739363,-71.4941596546339,6.82487535637901e-243,8.50970279510303e-241,546.288080334829,0.725177893722376,0.0795284885990293,-0.645649405123347,"1",119870287,"F","II","","IGR","island","IGR-island","chr1:119870226-119870535",NA,NA,"","","","DOWN"
"cg27424995",-0.67229977972565,0.413659472488095,-71.4236342944641,1.01453372168941e-242,1.24638451632255e-240,545.891714793664,0.70134123869628,0.0290414589706302,-0.67229977972565,"1",27902555,"R","I","AHDC1","5'UTR","island","5'UTR-island","chr1:27901660-27902688",NA,TRUE,"","","rs74457003","DOWN"
"cg21266616",-0.763297444459103,0.490286377968413,-71.3965859786248,1.18123654671794e-242,1.43015219004082e-240,545.739610331193,0.816906679783471,0.0536092353243682,-0.763297444459103,"12",94136549,"F","I","CRADD","Body","opensea","Body-opensea","",TRUE,NA,"","","","DOWN"
"cg24934561",-0.579761880730946,0.365731486773808,-71.379652451725,1.29930409413794e-242,1.55062662891834e-240,545.644360898443,0.61381564038891,0.0340537596579642,-0.579761880730946,"1",3663902,"F","I","KIAA0495","TSS200","island","TSS200-island","chr1:3662963-3664085",NA,NA,"high-CpG:3653733-3653822","","","DOWN"
"cg13506653",-0.776347589419241,0.492637791641387,-71.4873148786643,3.60602726619271e-242,4.24292278616534e-240,544.62789328971,NA,NA,NA,"4",54965863,"F","I","GSX2","TSS1500","shore","TSS1500-shore","chr4:54966163-54968063",TRUE,NA,"","","","DOWN"
"cg10064339",-0.705380176092831,0.436677286540091,-71.094008476665,6.49947083477022e-242,7.54119157689867e-240,544.03475280999,0.738514385147255,0.0331342090544246,-0.705380176092831,"11",73693792,"R","I","UCP2","1stExon","island","1stExon-island","chr11:73693702-73694802",NA,NA,"","","","DOWN"
"cg03733196",-0.68471007499964,0.414174746218071,-70.9202139934496,1.73552332384208e-241,1.98610436265435e-239,543.052740701749,0.707166964357452,0.0224568893578112,-0.68471007499964,"12",52445075,"F","I","NR4A1","TSS200","island","TSS200-island","chr12:52444553-52445421",NA,NA,"","","","DOWN"
"cg00334245",-0.669971615127434,0.430391483903984,-71.0573301660619,1.79269259323632e-241,2.0238045843103e-239,543.022457050009,0.716183571475826,NA,NA,"6",30923446,"R","I","","IGR","island","IGR-island","chr6:30923208-30923624",TRUE,TRUE,"","","","DOWN"
"cg19070139",-0.675005233289126,0.460192174907698,-70.8556091061724,5.5956556724935e-241,6.23281433173476e-239,541.884376513724,0.748131470226836,NA,NA,"6",42928517,"R","I","GNMT","1stExon","island","1stExon-island","chr6:42928218-42928810",TRUE,NA,"","","","DOWN"
"cg17397631",-0.656148840110107,0.414861264231509,-70.6650598578841,7.36653110381781e-241,8.0973685317492e-239,541.607323698285,0.69563193069723,0.0394830905871224,-0.656148840110107,"4",779880,"F","I","CPLX1","3'UTR","island","3'UTR-island","chr4:778661-780592",NA,NA,"","rs11248041","","DOWN"
"cg19548479",-0.677779509235895,0.456708472884952,-70.6540724426346,7.84045781685659e-241,8.50638761065194e-239,541.544982479753,0.746735053581242,0.0689555443453463,-0.677779509235896,"17",41363737,"R","II","TMEM106A","TSS200","island","TSS200-island","chr17:41363727-41364273",TRUE,NA,"","","","DOWN"
"cg14603620",-0.709298669268602,0.461251222512668,-70.7464142709992,1.03738969227193e-240,1.11107096015894e-238,541.267172923504,0.763819186326548,NA,NA,"17",38334166,"R","I","RAPGEFL1","TSS200","island","TSS200-island","chr17:38333605-38334795",TRUE,NA,"","","","DOWN"
"cg24500441",-0.613256382872241,0.392917275742529,-70.3591163741444,4.19355815438375e-240,4.43455504072428e-238,539.868376088051,0.655333960506465,0.0420775776342236,-0.613256382872242,"15",66274709,"R","I","MEGF11","Body","island","Body-island","chr15:66274583-66274838",TRUE,TRUE,"","","","DOWN"
"cg18873530",-0.799405618168358,0.507147885279688,-70.2980136417678,5.93969783618529e-240,6.20252946543649e-238,539.520312125046,0.849219126542428,0.049813508374069,-0.799405618168359,"19",49315663,"F","I","BCAT2","TSS1500","island","TSS1500-island","chr19:49315545-49315765",NA,NA,"","","","DOWN"
"cg23868141",-0.697796127156238,0.442729527438953,-70.1734456340552,1.2086892199267e-239,1.24659132632934e-237,538.809936651554,0.74132135859418,0.0435252314379429,-0.697796127156237,"19",3275646,"R","I","BRUNOL5","Body","island","Body-island","chr19:3275608-3275970",NA,TRUE,"","","","DOWN"
"cg05552183",-0.7760167021648,0.500376504459868,-71.752984624815,1.33060317308849e-239,1.35559254975381e-237,538.736973010335,0.820784355234356,NA,NA,"6",42928497,"R","I","GNMT","TSS200","island","TSS200-island","chr6:42928218-42928810",TRUE,NA,"","","","DOWN"
"cg25395188",-0.687774795916196,0.550968311334443,-70.6942095352762,1.56015355017957e-239,1.5703039467711e-237,538.56336477301,0.841577380031428,NA,NA,"11",60897782,"F","II","VPS37C","3'UTR","opensea","3'UTR-opensea","",NA,TRUE,"","","","DOWN"
"cg20532370",-0.693882304587102,0.48662761176867,-70.2261138820374,1.98681347253219e-239,1.97593330351594e-237,538.315185978035,0.782619364075056,NA,NA,"3",139258730,"F","II","RBP1","TSS200","island","TSS200-island","chr3:139258152-139258731",TRUE,NA,"","","","DOWN"
"cg13947995",-0.710485461015962,0.465428288165475,-70.0659764385748,2.232959070009e-239,2.19460471421825e-237,538.196217673303,0.769449973809515,0.0589645127935525,-0.710485461015963,"15",91427821,"R","I","FES","5'UTR","island","5'UTR-island","chr15:91427540-91427905",TRUE,NA,"","","","DOWN"
"cg02872545",-0.664531258033342,0.478158072723017,-70.0246842834076,2.82743542529056e-239,2.74655762126481e-237,537.960202072416,0.762515634300075,0.0979843762667331,-0.664531258033341,"6",30923697,"F","II","","IGR","shore","IGR-shore","chr6:30923208-30923624",TRUE,TRUE,"","rs73727141","","DOWN"
"cg00167841",-0.679798261041314,0.460986566040037,-70.1235161445665,3.56399077660239e-239,3.4222504537628e-237,537.730911224492,0.750970439631087,NA,NA,"6",30923672,"F","II","","IGR","shore","IGR-shore","chr6:30923208-30923624",TRUE,TRUE,"","","","DOWN"
"cg01118078",-0.645843900803425,0.464675886578161,-69.949239033933,4.35335297692039e-239,4.13271713286284e-237,537.528673595018,0.741036997619627,0.0951930968162009,-0.645843900803426,"20",33297179,"F","II","TP53INP2","Body","island","Body-island","chr20:33296514-33298242",TRUE,NA,"high-CpG:32760639-32760961","","","DOWN"
"cg21792155",-0.696758186989207,0.460688058679695,-69.942062953642,4.53586866641761e-239,4.25760076845536e-237,537.487607789046,0.758835747996007,0.0620775610067992,-0.696758186989207,"3",46940347,"F","I","PTH1R","Body","island","Body-island","chr3:46940054-46940394",NA,NA,"","","","DOWN"
"cg19818998",-0.699969210415741,0.447799024906164,-69.8481939609072,7.76459400304168e-239,7.20726870015669e-237,536.950107187667,0.747320733549179,0.0473515231334378,-0.699969210415741,"19",52207792,"F","II","NCRNA00085","Body","shore","Body-shore","chr19:52206244-52206726",NA,NA,"","","","DOWN"
"cg14936968",-0.672354064816906,0.410905710247441,-69.7931759268947,1.0643248053282e-238,9.7707356304525e-237,536.634787850732,0.698610705424908,0.0262566406080022,-0.672354064816906,"3",57198533,"F","I","IL17RD","Body","island","Body-island","chr3:57198243-57199378",NA,NA,"","","","DOWN"
"cg08119231",-0.729148075318548,0.49252411186127,-70.0118085901388,1.49369261347251e-238,1.35633783619014e-236,536.300324150361,0.802582405571493,NA,NA,"1",220921216,"R","II","MOSC2","TSS1500","shore","TSS1500-shore","chr1:220921411-220922176",TRUE,NA,"","","","DOWN"
"cg08870042",-0.685218741530986,0.52920023491124,-70.1891484861302,2.69516490474829e-238,2.42101157142658e-236,535.714562133583,0.818729280628558,NA,NA,"5",114938148,"F","II","TMED7-TICAM2","Body","island","Body-island","chr5:114937613-114938149",TRUE,NA,"","","","DOWN"
"cg25753473",-0.735510991603316,0.546376284856048,-69.7359969602375,3.52533060800928e-237,3.10006441045364e-235,533.143809432938,0.857155577082802,NA,NA,"6",170532835,"F","I","","IGR","shelf","IGR-shelf","chr6:170529588-170530672",NA,NA,"","rs11751600","","DOWN"
